,順位,ゼッケン,氏名,所属,吉見 21.4km,手島 32.7km,玉淀 52.2km,唐子 72.6km,川越 91.7km,成願寺 128.6km,浅草橋 146.5km,おしなり 159.4km,舟渡 181.3km,秋ヶ瀬 193.1km,ゴール 207.5km,ペース(分/㎞)
276,途中棄権,2322,野口　聡,rbrgtrc,01:57:22(11位),03:08:24(12位),05:04:20(16位),07:24:12(15位),09:43:12(17位),14:55:12(21位),,,,,,06:57.67
277,途中棄権,2273,田村　展也,吉永小百合,02:02:58(17位),03:14:04(20位),05:16:10(26位),07:42:57(28位),09:56:48(27位),15:05:45(25位),,,,,,07:02.59
278,途中棄権,2360,福井　雄二郎,,02:17:45(96位),03:37:11(95位),05:47:08(75位),08:12:49(62位),10:33:14(53位),16:11:20(45位),,,,,,07:33.19
279,途中棄権,2114,金原　佳代子,Ｒ−ＧＵＮ,02:17:44(95位),03:37:10(94位),05:47:08(74位),08:12:44(61位),10:33:20(54位),16:11:25(46位),,,,,,07:33.23
280,途中棄権,2422,村岡　大輔,Audax Japan,02:20:57(141位),03:42:54(136位),05:49:00(81位),08:26:12(84位),11:03:37(86位),17:43:09(98位),,,,,,08:16.02
281,途中棄権,2184,桜井　健司,オレンジスマイルいちかわ,02:23:53(189位),03:44:54(150位),06:13:55(168位),08:51:55(136位),11:27:15(120位),17:50:02(104位),,,,,,08:19.24
282,途中棄権,2031,石田　学,,02:14:38(71位),03:35:48(83位),05:58:01(121位),08:52:56(139位),11:33:20(129位),18:58:35(166位),,,,,,08:51.22
283,途中棄権,2409,水野　真弓,,02:33:39(320位),04:07:34(326位),06:48:41(319位),09:37:56(260位),12:22:52(217位),19:07:26(173位),,,,,,08:55.35
284,途中棄権,2346,原田　融,,02:20:56(140位),03:39:41(116位),06:08:06(151位),08:49:18(130位),11:34:06(133位),19:11:20(175位),,,,,,08:57.17
285,途中棄権,2146,栗原　宏夫,,02:22:14(157位),03:47:40(174位),06:03:36(136位),08:46:27(129位),11:24:22(117位),19:29:50(202位),,,,,,09:05.80
286,途中棄権,2349,引地　正伸,いわきトライトレイル,02:26:24(228位),03:50:11(199位),06:33:13(255位),09:41:07(271位),12:35:19(249位),19:35:01(211位),,,,,,09:08.21
287,途中棄権,2105,掛田　成実,いわきトライトレイル,02:26:29(229位),03:50:14(200位),06:33:17(258位),09:41:12(272位),12:35:26(251位),19:35:23(214位),,,,,,09:08.39
288,途中棄権,2361,福澤　直樹,nao山に行く,02:39:16(385位),04:11:26(349位),06:36:50(269位),09:31:22(242位),12:38:27(258位),20:13:29(260位),,,,,,09:26.17
289,途中棄権,2151,慶野　泰志,佐野狂人会,02:11:36(52位),03:28:35(49位),05:44:37(68位),08:36:04(101位),11:44:39(149位),20:15:00(261位),,,,,,09:26.87
290,途中棄権,2012,朝生　文子,,02:23:32(183位),03:46:36(166位),06:30:05(242位),09:30:35(237位),12:19:32(208位),20:21:33(269位),,,,,,09:29.93
291,途中棄権,2247,田口　健治,のんでRC,02:23:32(182位),03:46:39(167位),06:30:05(241位),09:30:35(238位),12:19:32(209位),20:21:40(270位),,,,,,09:29.99
292,途中棄権,2320,韮澤　純二,,02:19:20(121位),03:45:59(160位),06:09:59(156位),09:12:18(192位),12:26:21(232位),20:30:45(277位),,,,,,09:34.22
293,途中棄権,2402,丸山　成人,SYD@pinaru3,02:27:33(246位),04:00:33(272位),06:43:54(290位),09:57:51(306位),12:52:22(283位),20:34:03(280位),,,,,,09:35.76
294,途中棄権,2332,長谷川　志乃,,02:18:59(116位),03:45:15(154位),06:26:51(226位),09:21:58(208位),12:15:12(201位),20:35:53(282位),,,,,,09:36.62
295,途中棄権,2106,数澤　真也,TW,02:23:42(185位),03:52:08(213位),06:37:19(272位),09:55:15(300位),13:01:59(307位),20:40:38(286位),,,,,,09:38.83
296,途中棄権,2016,新井　敏之,,02:33:31(317位),04:03:25(295位),06:46:19(309位),09:58:35(312位),13:08:10(315位),20:40:41(287位),,,,,,09:38.85
297,途中棄権,2026,石井　浩史,,02:26:35(231位),03:49:47(196位),06:29:46(239位),09:44:55(279位),12:58:18(299位),20:46:14(289位),,,,,,09:41.45
298,途中棄権,2050,岩田　慎一,,02:37:26(369位),04:11:39(351位),06:58:24(359位),10:24:52(370位),13:36:44(354位),20:48:30(293位),,,,,,09:42.50
299,途中棄権,2433,簗瀬　渉,Mash-R,02:34:24(336位),04:14:19(371位),07:10:16(392位),10:26:29(377位),13:48:16(374位),20:59:23(297位),,,,,,09:47.58
300,途中棄権,2381,堀内　まゆ,,02:37:42(372位),04:14:27(372位),07:06:01(377位),10:26:28(376位),13:45:04(369位),20:59:33(298位),,,,,,09:47.66
301,途中棄権,2193,佐藤　利夫,,02:29:40(273位),04:19:28(392位),07:10:14(391位),10:26:18(375位),13:41:43(363位),21:00:01(299位),,,,,,09:47.87
302,途中棄権,2427,八重倉　慶子,鎌倉二の鳥居,02:28:00(253位),04:02:01(283位),06:47:46(312位),09:48:12(289位),13:10:51(320位),21:10:05(300位),,,,,,09:52.57
303,途中棄権,2085,大森　真美,,02:39:33(390位),04:17:23(384位),06:55:56(349位),10:08:32(340位),13:48:39(376位),21:10:14(301位),,,,,,09:52.64
304,途中棄権,2352,平井　秋敬,気温観測隊,02:42:45(402位),04:17:10(383位),06:46:13(308位),10:03:03(327位),13:10:39(319位),21:10:32(302位),,,,,,09:52.78
305,途中棄権,2022,池澤　亮,,02:45:39(416位),04:19:27(391位),07:12:12(397位),10:30:46(380位),13:53:00(380位),21:14:04(303位),,,,,,09:54.43
306,途中棄権,2229,成津　杏美,,02:46:15(418位),04:38:11(417位),07:25:20(406位),10:52:07(404位),14:02:57(385位),21:15:44(304位),,,,,,09:55.21
307,途中棄権,2393,松下　純子,D.R.A.C.,02:33:28(316位),04:12:57(358位),07:09:05(385位),10:17:38(363位),13:40:02(360位),21:18:06(305位),,,,,,09:56.31
308,途中棄権,2432,柳澤　道生,,02:31:57(300位),04:05:40(316位),06:56:48(350位),10:08:58(342位),13:36:45(355位),21:24:33(306位),,,,,,09:59.32
309,途中棄権,2080,大橋　清文,ぬらりひょん,02:18:46(111位),03:49:12(186位),06:39:11(277位),10:04:17(332位),13:23:16(337位),21:30:59(308位),,,,,,10:02.32
310,途中棄権,2054,上田　和之,,02:19:12(118位),03:42:06(128位),06:06:22(145位),09:01:39(164位),11:46:45(157位),21:32:20(309位),,,,,,10:02.95
311,途中棄権,2212,主濱　翔太,いわてゆる？ラン,02:06:29(33位),03:20:10(32位),05:40:10(56位),08:38:17(111位),11:56:19(174位),21:36:43(310位),,,,,,10:05.00
312,途中棄権,2347,原谷　京子,絆RC,02:39:16(386位),04:13:51(365位),07:05:29(376位),10:29:31(379位),13:46:48(372位),21:45:26(311位),,,,,,10:09.07
313,途中棄権,2467,渡辺正道,,,(1位),,(1位),(1位),,,,,,,
314,途中棄権,2257,田治米　伸康,Ａｓｔｒｏｒｕｎｎｅｒｓ,02:03:53(22位),03:11:17(15位),05:03:02(15位),07:22:49(14位),09:30:28(13位),,,,,,,06:13.26
315,途中棄権,2061,漆原　映彦,,02:08:43(39位),03:17:41(27位),05:13:02(24位),07:29:55(17位),09:53:22(23位),,,,,,,06:28.24
316,途中棄権,2394,松島　譲,,02:05:02(29位),03:16:27(24位),05:19:48(29位),07:42:55(27位),10:03:18(32位),,,,,,,06:34.75
317,途中棄権,2093,小河原　成哲,ランボーズ,01:55:59(10位),03:02:16(6位),05:09:14(19位),07:48:24(35位),10:03:42(33位),,,,,,,06:35.00
318,途中棄権,2035,市村　耕太郎,浦安ランナーズ,02:11:10(48位),03:24:58(40位),05:27:00(38位),07:52:41(39位),10:15:15(41位),,,,,,,06:42.56
319,途中棄権,2255,竹中　祐三,Ｇコ山ＴＲＣ,02:09:56(43位),03:27:24(47位),05:43:21(65位),08:19:40(69位),10:47:18(67位),,,,,,,07:03.53
320,途中棄権,2267,田中　利一,右田病院駅伝部,02:20:38(136位),03:36:02(86位),05:45:46(71位),08:16:22(65位),10:47:31(68位),,,,,,,07:03.68
321,途中棄権,2411,三塚　崇,,02:17:37(93位),03:32:40(68位),05:41:34(59位),08:16:10(64位),10:48:09(70位),,,,,,,07:04.09
322,途中棄権,2070,大内　道晶,,02:04:41(28位),03:18:31(29位),05:24:34(35位),08:03:35(49位),10:49:48(71位),,,,,,,07:05.17
323,途中棄権,2331,長谷川　康一,ジョギング同好会相模原,02:18:16(100位),03:37:48(100位),05:49:08(82位),08:22:17(75位),10:49:49(72位),,,,,,,07:05.18
324,途中棄権,2049,岩瀬　光正,ARC,02:07:32(36位),03:16:55(25位),05:12:45(23位),07:49:08(36位),10:51:13(75位),,,,,,,07:06.10
325,途中棄権,2428,八木　佳夫,とらいろばいつ,02:23:00(169位),03:43:19(140位),06:07:11(149位),08:39:54(116位),11:11:01(100位),,,,,,,07:19.05
326,途中棄権,2243,高村　俊介,べるっぽくらぶ,02:18:17(101位),03:38:56(110位),06:05:22(143位),08:35:06(97位),11:12:50(104位),,,,,,,07:20.24
327,途中棄権,2198,佐藤　裕美,ＡＭＡＣ,02:12:42(63位),03:30:32(56位),05:54:29(103位),08:42:14(121位),11:28:00(121位),,,,,,,07:30.16
328,途中棄権,2348,馬場　康弘,,02:19:45(125位),03:44:17(146位),06:04:32(140位),08:39:38(115位),11:28:19(122位),,,,,,,07:30.37
329,途中棄権,2157,小嶋　一樹,,02:10:01(45位),03:42:18(131位),06:03:26(134位),08:56:58(148位),11:31:03(125位),,,,,,,07:32.16
330,途中棄権,2297,内藤　映里子,,02:12:18(56位),03:31:39(62位),05:53:35(100位),08:46:20(128位),11:33:46(131位),,,,,,,07:33.93
331,途中棄権,2261,立石　直,水曜ぶどう坂練/アメ車組,02:27:26(244位),03:59:43(269位),06:20:00(192位),08:55:09(144位),11:36:54(134位),,,,,,,07:35.99
332,途中棄権,2109,加藤　憲一,カトウケンイチ,02:21:50(153位),03:46:18(164位),06:05:36(144位),08:57:19(149位),11:38:50(138位),,,,,,,07:37.25
333,途中棄権,2018,有村　剛志,ちゃんぷ練TRC,02:11:23(51位),03:30:54(58位),05:58:15(122位),08:51:46(135位),11:42:33(146位),,,,,,,07:39.68
334,途中棄権,2303,中口　淳,無限会社ZERO,02:31:39(297位),03:55:16(237位),06:18:19(181位),08:59:31(154位),11:46:15(155位),,,,,,,07:42.11
335,途中棄権,2205,芝山　拓也,牛久走友会,02:19:14(119位),03:39:09(111位),05:56:55(117位),08:42:30(123位),11:49:29(162位),,,,,,,07:44.22
336,途中棄権,2048,岩崎　真吾,,02:22:57(168位),03:42:37(134位),06:07:42(150位),08:59:32(155位),11:51:33(165位),,,,,,,07:45.57
337,途中棄権,2353,平井　るみ,産経ランナーズ,02:20:33(134位),03:49:37(192位),06:21:45(202位),09:17:11(205位),11:55:03(171位),,,,,,,07:47.86
338,途中棄権,2069,大内　健,,02:26:41(232位),03:49:51(197位),06:14:15(170位),09:05:27(173位),12:01:44(180位),,,,,,,07:52.24
339,途中棄権,2389,増田　優貴,,02:15:29(73位),03:38:26(107位),06:07:02(148位),09:07:40(182位),12:12:07(191位),,,,,,,07:59.02
340,途中棄権,2438,山口　裕之,ジャーニーラン研究会見習い,02:26:58(238位),03:57:41(255位),06:30:15(244位),09:37:04(254位),12:24:25(224位),,,,,,,08:07.08
341,途中棄権,2118,上山　等,オリラン,02:24:07(193位),04:02:20(287位),06:50:45(331位),09:39:14(263位),12:24:43(226位),,,,,,,08:07.27
342,途中棄権,2173,斎藤　秀樹,,02:24:23(199位),03:53:36(222位),06:49:57(327位),09:31:23(243位),12:26:17(230位),,,,,,,08:08.30
343,途中棄権,2199,設楽　篤史,アシスト走行会,02:38:12(376位),04:04:49(307位),06:27:11(227位),09:20:50(207位),12:28:41(234位),,,,,,,08:09.87
344,途中棄権,2228,須藤　裕実,Team 39raba,02:38:03(374位),04:10:07(338位),06:36:57(270位),09:29:36(232位),12:30:37(239位),,,,,,,08:11.13
345,途中棄権,2406,水落　幸夫,,02:34:13(332位),04:04:16(303位),06:32:43(253位),09:29:07(230位),12:31:05(241位),,,,,,,08:11.44
346,途中棄権,2463,渡辺　剛玄,,02:29:24(266位),03:59:23(265位),06:24:51(216位),09:24:52(218位),12:31:32(242位),,,,,,,08:11.74
347,途中棄権,2164,児林　昇,ちゃんぷ。錬,02:32:08(303位),04:09:16(336位),06:49:13(321位),09:49:28(292位),12:33:42(247位),,,,,,,08:13.15
348,途中棄権,2315,新妻　慎也,いわきトライトレイル,02:24:44(201位),03:44:57(152位),06:33:34(261位),09:41:29(274位),12:35:41(252位),,,,,,,08:14.45
349,途中棄権,2300,永石　昇,ナイスおっさん,02:28:08(255位),03:59:39(266位),06:41:25(281位),09:25:16(220位),12:36:13(255位),,,,,,,08:14.80
350,途中棄権,2071,太田　哲也,チーム凰,02:17:42(94位),03:41:38(127位),06:21:03(200位),09:35:05(250位),12:39:01(259位),,,,,,,08:16.64
